text,id,author_id,edit_history_tweet_ids
"The targets for responsible antibiotic use in the updated policy apply to beef and dairy cattle suppliers in Australia, Brazil, Canada, France, Germany, Ireland, New Zealand, Poland, the United Kingdom, and the United States. https://t.co/OBKG1FYxRm",1.60568E+18,707987761,['1605680516438507520']
,,,
"New AHV appointment for Northern Ireland: “A proactive approach is needed now – not a reactive one. Farmers want healthier cows that are more efficient.”
#AD @AHVUK_IE #Farming #DairyFarms #HerdHealth #NorthernIreland

https://t.co/HRC4XBmn2I",1.60564E+18,475834743,['1605644803701673986']
,,,
"@Dept_ECC @merrionstreet @EamonRyan In Ireland, most farm products are exported, so limiting output, such as culling dairy cows, will fail to reduce emissions. Shortfall will be filled by producers elsewhere, including some whose carbon footprints per unit are worse than Ireland's. @rte  https://t.co/zFepEUVtvx",1.60562E+18,2266584242,['1605624926861393931']
,,,
"I told him things I had never told anyone—about my childhood in Ireland, on my grandparents’ dairy farm, and about my time with the Seven Seals.",1.60556E+18,1.36521E+18,['1605555200215126023']
,,,
"A day on Vijverberg dairy farm in The Netherlands with the Pharvet team listening to how farmers can see that using #OmniGen in their dairy herd supports their cows to combat the daily stress challenges in modern #dairyfarming.

@JamesCa78126489 @PhibroEurope 

#pharvet #ireland https://t.co/viPmQd4gqy",1.60555E+18,1413690242,['1605548859509415938']
,,,
@elonmusk I’m a dairy farmer for Ireland very organised just love to get shit done… I’ll manage twitter for ya .. until I start calving my girls !!,1.60549E+18,2662954973,['1605489703527993344']
,,,
"🇮🇪This week’s front page from The Avondhu:

Hopes that silver pail dairy can be saved

#TomorrowsPapersToday
#UK #Ireland #news 🗞 https://t.co/iPjcS4k4DA",1.60533E+18,256042351,['1605334220683239424']
,,,
"#igadairy Conference 2023. Please RT

Meet our speaker Robert O Dea Dairy Farmer from Limerick,

Your Conference ticket gives you FREE admission to the IGA Succession Planning Event the night prior to Conf.

Tickets sell out fast so book now https://t.co/IuslPOwAcr 
@Yara_Ireland https://t.co/L0L8CL7BAY",1.6053E+18,2187132014,['1605300540728016896']
,,,
"@paulajones8448 @PatKennyNT we export 90% of our beef and dairy, and are producing more and more, how are the EU driving up imports of these to Ireland? we already produce way too much for ourselves",1.60526E+18,8.9821E+17,['1605260596093812736']
,,,
@woetoconquered @DumbCryptoDummy @gregkaplan_68 @WallStreetSilv Maybe so. Doesn’t change the fact that you decided to come out here all guns blazing when I made a statement I’m qualified to give (as a dairy and beef farmer in rural Ireland) and a response in a language that I’m competent in (labhraím Gaeilge mar tá sé tábhachtach dom),1.60526E+18,8.71448E+17,['1605255290244440065']
,,,
"Heads up #Ireland. Maybe you want to rethink the approval of all those new factory farms. #manure #Sows #chicken #meat #dairy
A tiny Wisconsin town tried to stop pollution from factory farms. Then it got sued. - Wisconsin Watch https://t.co/Ig5HyF0zlV",1.60525E+18,1656818810,['1605254930964828160']
