text,id,author_id,edit_history_tweet_ids
🎄The Irish Spirit team would like to wish you a Merry Christmas! It is a popular tradition to leave out some cookies and milk to help Mr Claus with his travels during Christmas. In Ireland it's a tradition to leave him a tasty mince pie and some Guinness to wash it down with!🍻 https://t.co/ZIev8tDdPT,1606907741200678912,882061017638871041,['1606907741200678912']
"@VABVOX Same.  I tried, but they are hideous.  Cannot have tapioca pudding anywhere near me - it was a common dessert in our primary school (N. Ireland) and all I saw was frog spawn in milk. With a blob of red stuff in the middle (I scooped that out and ate it...I was tougher as a kid).",1606721358490107904,3044871157,['1606721358490107904']
On Thursday evening I found out that in Ireland Baileys is called Christmas milk! Now I feel like an absolute rube.,1606686850898268160,1272576450,['1606686850898268160']
"Today We're Looking At The: Top 5 Foods From Across The Globe That Kids Leave Out For Santa!
1. Mince Pies and Sherry (England)
2. Christmas Pudding or Mince Pie + Guinness (Ireland)
3. Hay and Water (Argentina)
4. Pan de Pascua (Chile)
5. Cookies and Milk (USA) https://t.co/26YEeZko9C",1606642784424935426,1219276291326824454,['1606642784424935426']
"The Milk Tray Man paid a visit earlier.  
#Chocolate ,#Christmas ,#Ireland ,
#gifts ,#FeelingFestive ,#Santa https://t.co/c3lhuAWwrK",1606415771361501185,32635255,['1606415771361501185']
"@RuisOlc @sitara68 I pray for the day Ireland get's past the mentality where we must buy everything because Dunnes is closed for 2 days!

Eg: I've 6 liters of milk in the fridge.
This is a weeks worth of consumption.
And yet I still have this niggling feeling I don't have enough 😭",1606385932772511751,1177117794963460096,['1606385932772511751']
Northern Ireland - Horgan’s Delicatessen Supplies is recalling Le Rustique le Bon Brie and Le Rustique Camembert because they contain milk which is not mentioned in English on the label. This mean... Food Poisoning https://t.co/kLvzzmJlGx #allergen #milk https://t.co/4oHaTcrvJe,1606296143511650309,921197448885886977,['1606296143511650309']
"#family #mugs 9,99 https://t.co/5trcoyjqf4 #ceramic #shopping #OnlineShop #BestSeller #CoffeeTime #MILK #England #Scotland #France #Ireland #Poland #Deutschland #Italia #Espana #Portugal #giftideas #ecommerce #kitchendecor",1606218228220317696,803910896842108928,['1606218228220317696']
"Howdly doodly, I'm Brandswaggle Cumberpunch. I come from Ireland. Did you know that 2+2 = 4? Blows your mind, I know. Take care of me, or I'll leave you only a drop of milk in the carton. I think you're beautiful!",1606208920707469312,1110398292695773184,['1606208920707469312']
"@crapbearddad Ah nice mate so you all set, same here, ain't crossing that door between now &amp; next year only for bread &amp; milk, and tonnes of fooking beers 😂😂😂.  No secret santa for me. I'm Republic of Ireland so BREXIT taxes, vat and duties,👎👎 wud cost a bomb mate🍻🎅🎄👍",1606056191360225284,1524089206645178372,['1606056191360225284']
@ju_and_the_cats Oh! That’s interesting… I hadn’t thought about that! When I lived in Ireland I had to go to the Italian shop for ricotta. Only place they had it! Maybe you can use mascarpone if you whisk in a splash of milk and a splash of lemon!,1606034116323020800,1877473106,['1606034116323020800']
"Heyo, I'm Brandswaggle Cumberpunch. I come from Ireland. Did you know that Lyn is a cool mom? Strange, don't you think? Take care of me, or I'll leave you only a drop of milk in the carton. I love you!",1605982422251601920,1110398292695773184,['1605982422251601920']
"@DaiJordan1 @GBNEWS @Nigel_Farage From what I have heard the Catholics in Northern Ireland don't fancy joining your land of milk &amp; honey?
They know the EU is a doomed entity ... a smart decision to remain with the UK",1605952729154605057,7349062,['1605952729154605057']
@politicsIN @irish_news Because he tried to milk the situation in an attempt to gain support for the DUP. These are the ttue colours of a party who truly should have no place in the running of Northern Ireland,1605937011755401216,514788343,['1605937011755401216']
"The first of two loads of incalf and in milk cows and heifers heading both to the North and to the South of Ireland today.

Many thanks and the very best of luck to them in their new home 🤝

For details on all our available stock give David a call: +353 (87) 257 6434
#farming https://t.co/jwsC7bduBo",1605887245793120258,1889991276,['1605887245793120258']
A bulk milk tank study to detect evidence of spread of Schmallenberg virus infection in the south-west of Ireland in 2013 https://t.co/VX33enadIq,1605860331406102528,900590952196198400,['1605860331406102528']
"@sligojord American’s do not want to know. Propaganda is mama milk here. If you want to know what the USA has done you need to seek it outside of k-12 school on your own.

Start with where we fall on the World Human Freedom Index. We aren’t even in the top 10. Ireland is.",1605787258103398400,1081334295849889793,['1605787258103398400']
"@texans945 @StrawHatNate27 @Milk_and_Honey5 @Queen0Hartz @DivaGirlLove2 @NasimiShabnam @lilsun83 No one, literally no one cares what you think, I live in Ireland where I choose what I do with my body, not the likes of you. Pipe down and go play with yourself to your trump poster",1605784369796464640,1459117770994589696,['1605784369796464640']
@GameOnClimate @farmersjournal Ireland is one of the most environmentally sustainable county's in the world to produce milk and beef. The wording is correct driving farmers into forestry  and let the short fall be replaced by cows milked in a desert 🙈,1605663786521747472,1342025170253475840,['1605663786521747472']
"I wonder if the UK are Ireland are below the regression line because they put too much milk in their chocolate bars? (Well, and whether this is really a function showing the long-term effects of historical European colonialism…) https://t.co/KxvMQ1TBdU",1605518527275966464,2733713380,['1605518527275966464']
"@wws_ireland What’s the kgs solids &amp; litres milk per cow, what’s the level of meal per cow, and how long does the herd receive buffer-feeding? Context is everything…..",1605313030677749760,243330723,['1605313030677749760']
