Review,Brand,Category
"I just bought this on a lark (not from Amazon), and I was pleasantly surprised: it has a very mild, smooth, creamy taste. At first, I thought that butter was butter, but I did a direct comparison (tasting small slivers of each back-to-back) with the Costco Kirkland Signature butter I had in the fridge, and I have to say the Kerrygold is superior and a lot closer to the fresh, smooth taste I remember spreading on fresh breads at European continental breakfasts. As a side note, the salted butter really isn't very salty (much less so than the other butter), which (to me) is a good thing, as I'm not much for salty flavors.",Irish,Butter
"I can no longer buy this in my state because I live in Wisconsin (the dairy state) and they don't like the competition. They will not allow the sale of any product without an FDA seal. They have also outlawed the sale of raw milk in my state. I am surrounded by cows and dairy farms but can't get raw milk. Go figure. Anyway, I bought this on a whim to see if it would actually be shipped to me and it was. It is nice to know I can get it somewhere, but I had to pay 10 dollars a 1/2 pound for it. So, it is reserved for special buttery things.",Irish,Butter
"Excellent butter. Compares well to Anchor brand from New Zealand, maybe even a bit better. Great flavor, very slightly sweet without overpowering anything with that at all. One can cook with this, but it is also great for use on toast or any other application where one eats butter, like on a baked potato for instance. Are there American butters that are good? Of course, I'm fond of Tillamook and Land O'Lakes. But this butter is a very nice indulgence for me as well, and just based on flavor I feel is a superior product.",Irish,Butter
"The ""Kerrygold Butter"" is simply delicious. Not too salty, not too bland. Just perfect. I do quite a bit of baking and is perfect for the breads I bake. I have not tasted or use the ""Anchor Butter"" yet.",Irish,Butter
"What did they do? THEY DID EVERYTHING RIGHT! THEY SHIPPED MY BUTTER RIGHT AWAY, AND IT WAS COLD AND READY TO GO WHEN I GOT IT. THANK YOU SO MUCH.",Irish,Butter
Outstanding seller for an outstanding product. Butter came to our very rural home still frozen! Best tasting butter in the world as far as we are concerned. We've even taken up bread baking because the butter is so good. Will definitely be ordering more from Savory Foods very soon. Thank you!,Irish,Butter
"This butter is great tasting. It came in an extreme box, with an ice pack and insulated pads. I thought that was overkill, but hey, now I have an insulated box in case I ever want to mail somebody raw meat. Good product.",Irish,Butter
I love the taste and that it is grass feed butter. The only thing I don’t like is that it finishes quickly. Is there a larger tub with butter in it?,Irish,Butter
"I am a huge fan of butter. I like to cook with it as well as spreading it on bread, crackers, toast, whatever... This butter is expensive no doubt about that. It is however the best tasting butter I have ever had. It has a rich deep yellow color, unlike the pale pasty generic butter you buy at the store. If you can afford it this butter is highly recommended",Irish,Butter
Love love this Kerry gold butter. Just wish I could afford to get more of this more often,Irish,Butter
Arrived well packed and cold. Put it in my fridge for a few days until I had a spot in my freezer for them. Will purchase again!,Irish,Butter
Great smooth buttery taste,Irish,Butter
Best Butter so far. Using it for my KETO way of eating.,Irish,Butter
Liquid,Dutch,Butter
tasted fake and horrible,Dutch,Butter
Great butter. This was the first time I had bought this brand of canned butter. I will buy again.,Dutch,Butter
"This is great butter, its smooth to the taste, and works very well with recipes. This is also"" put back"" for winter use. It has that nice creamy yellow color.",Dutch,Butter
Soft and easy to spread,Dutch,Butter
My wife love it,Dutch,Butter
Great Butter,Dutch,Butter
Not a great product and too expensive. I was expecting a lot more butter flavor.,Dutch,Butter
Taste as expected,Dutch,Butter
"So good, tastes like it was just made",Dutch,Butter
It's so rich that you can't stop putting it on cookies.,Dutch,Butter
Great tasting butter. A bit on the expensive side for the amount but it surely make up in taste! Delicious.,Dutch,Butter
Good butter but my mom use to buy a dutch butter that came in a round yellow can with a cow design on the front that was the most delicious butter with a fabulous flavor. Haven't been able to find it again. Wish to know where I can find it.,Dutch,Butter
"this product comes with a clear taste of butter. from using it on your toast, omelet or any other dish. flavorful and full bodied. best value as well.",Dutch,Butter
"We loved this, the taste, and the ability to keep preserved.",Dutch,Butter
simply great better,Dutch,Butter
Making cookies produced a great addition to the end result with the Dutch butter,Dutch,Butter
Love it,Dutch,Butter
Great butter. This was the first time I had bought this brand of canned butter. I will buy again.,Dutch,Butter
"This is great butter, its smooth to the taste, and works very well with recipes. This is also"" put back"" for winter use. It has that nice creamy yellow color.",Dutch,Butter
