text,id,author_id,edit_history_tweet_ids,Tweet
@ju_and_the_cats Oh! That’s interesting… I hadn’t thought about that! When I lived in Ireland I had to go to the Italian shop for ricotta. Only place they had it! Maybe you can use mascarpone if you whisk in a splash of milk and a splash of lemon!,1.60603E+18,1877473106,['1606034116323020800'],Milk
"Heyo, I'm Brandswaggle Cumberpunch. I come from Ireland. Did you know that Lyn is a cool mom? Strange, don't you think? Take care of me, or I'll leave you only a drop of milk in the carton. I love you!",1.60598E+18,1.1104E+18,['1605982422251601920'],Milk
"@DaiJordan1 @GBNEWS @Nigel_Farage From what I have heard the Catholics in Northern Ireland don't fancy joining your land of milk &amp; honey?
They know the EU is a doomed entity ... a smart decision to remain with the UK",1.60595E+18,7349062,['1605952729154605057'],Milk
@politicsIN @irish_news Because he tried to milk the situation in an attempt to gain support for the DUP. These are the ttue colours of a party who truly should have no place in the running of Northern Ireland,1.60594E+18,514788343,['1605937011755401216'],Milk
"The first of two loads of incalf and in milk cows and heifers heading both to the North and to the South of Ireland today.

Many thanks and the very best of luck to them in their new home 🤝

For details on all our available stock give David a call: +353 (87) 257 6434
#farming https://t.co/jwsC7bduBo",1.60589E+18,1889991276,['1605887245793120258'],Milk
A bulk milk tank study to detect evidence of spread of Schmallenberg virus infection in the south-west of Ireland in 2013 https://t.co/VX33enadIq,1.60586E+18,9.00591E+17,['1605860331406102528'],Milk
"@sligojord American’s do not want to know. Propaganda is mama milk here. If you want to know what the USA has done you need to seek it outside of k-12 school on your own.

Start with where we fall on the World Human Freedom Index. We aren’t even in the top 10. Ireland is.",1.60579E+18,1.08133E+18,['1605787258103398400'],Milk
"@texans945 @StrawHatNate27 @Milk_and_Honey5 @Queen0Hartz @DivaGirlLove2 @NasimiShabnam @lilsun83 No one, literally no one cares what you think, I live in Ireland where I choose what I do with my body, not the likes of you. Pipe down and go play with yourself to your trump poster",1.60578E+18,1.45912E+18,['1605784369796464640'],Milk
@GameOnClimate @farmersjournal Ireland is one of the most environmentally sustainable county's in the world to produce milk and beef. The wording is correct driving farmers into forestry  and let the short fall be replaced by cows milked in a desert 🙈,1.60566E+18,1.34203E+18,['1605663786521747472'],Milk
"I wonder if the UK are Ireland are below the regression line because they put too much milk in their chocolate bars? (Well, and whether this is really a function showing the long-term effects of historical European colonialism…) https://t.co/KxvMQ1TBdU",1.60552E+18,2733713380,['1605518527275966464'],Milk
"@wws_ireland What’s the kgs solids &amp; litres milk per cow, what’s the level of meal per cow, and how long does the herd receive buffer-feeding? Context is everything…..",1.60531E+18,243330723,['1605313030677749760'],Milk
It is understood a cow was trapped in a slurry pit https://t.co/gU5HZgU3Vt,1.60772E+18,20687723,['1607719593497305089'],Cow
"You know you're down home when you're having pints and you end up buying a raffle ticket for the local hurling club where the game is they grid out the pitch and wait for a cow to shite in the winning square. Lovely hurling @Craobh_Rua

#GAA #Ireland #Armagh #Greatdayfortheparish",1.6077E+18,431813199,['1607698163133038594'],Cow
"Always. In 5th or 6th grade I did a school report on English genocide of Ireland, presenting on unfair laws. E.g. Irish peasants had to sell any cow that became worth more than a certain amount to the Brits, but at a mandated low price so Irish farmers could never accrue wealth. https://t.co/R4i98dOLLM",1.60689E+18,17845980,['1606886570044309504'],Cow
@7YRBitchLasagna @JenCages @MucusMucous @ADouble777 @TomDoubting @fastcow33 @RepublicanRehab @atriana @michellmybell1 @Bruh50347166 @BigBrotherNut @TreatHunterDog @shrekvivre @CivilLost @SnoJusticeCuz @BidenTour @42Gnome @kimmsue70 @RealDoctorT @cl1ntonserver @lemmabarkaloo @NewfMom29 @NotaDorR1 @TruthPyRate @ADirtyRottenDog @pookietooth @odktiger @Evry1H8sGrtzLOL @TastyMorsel6 @MurphyYuiko @theProgEqualist @LeAidan098 @1717mule @Polt223 @Jennie_SC1 @FemmeVoilet @LucaBra66424748 @_Kel_Varnsen_ @JackWhoElse @429jamesowens @instinctnaturel @Timeforfreespe1 @cow_cousin @MyChickenDinner @VtTbQW9s3xjPOow @TwoSides1Truth @SomeSis1 @LadyOfTheOcean1 @SnoJusticeBro @Aimhighffw My clan is in Ireland.  Small world.,1.60644E+18,1.30028E+18,['1606438931540606978'],Cow
@JenCages @MucusMucous @RedStateJimy @ADouble777 @TomDoubting @fastcow33 @RepublicanRehab @atriana @michellmybell1 @Bruh50347166 @BigBrotherNut @TreatHunterDog @shrekvivre @CivilLost @SnoJusticeCuz @BidenTour @42Gnome @kimmsue70 @RealDoctorT @cl1ntonserver @lemmabarkaloo @NewfMom29 @NotaDorR1 @TruthPyRate @ADirtyRottenDog @pookietooth @odktiger @Evry1H8sGrtzLOL @TastyMorsel6 @MurphyYuiko @theProgEqualist @LeAidan098 @1717mule @Polt223 @Jennie_SC1 @FemmeVoilet @LucaBra66424748 @_Kel_Varnsen_ @JackWhoElse @429jamesowens @instinctnaturel @Timeforfreespe1 @cow_cousin @MyChickenDinner @VtTbQW9s3xjPOow @TwoSides1Truth @SomeSis1 @LadyOfTheOcean1 @SnoJusticeBro @Aimhighffw I came here from Ireland.,1.60644E+18,1.42449E+18,['1606437397582979073'],Cow
@xxx_porn_anal_1 kylie reverse cow ireland,1.60637E+18,1.60306E+18,['1606372480729419794'],Cow
"""Meat Industry Ireland rejects idea of cow cull and want reduction in emissions to be delivered by magic"". https://t.co/VQJyjXeOIB",1.60636E+18,451740147,['1606360856463294466'],Cow
Subscriber-only: Meat Industry Ireland rejects idea of cow cull and want reduction in emissions to be delivered by science. https://t.co/UdWEtq0C1P,1.60635E+18,133241378,['1606354951634026502'],Cow
"The ""Holee Cow"" Burger Challenge | Ireland's Biggest Burger https://t.co/leZF77Mgue via @YouTube",1.60607E+18,1147744140,['1606070678620278787'],Cow
"@RoughJustice7 @Noel_Hannan @brexit_sham @GodwinStan Northern Ireland a cash cow !  
Give me a break, only if cows eat cash. 
It will take £15 billion in 2022 to keep the population of NI in the luxury to which it has become accustomed, whilst the two biggest parties there bicker and drive their talented youth into disgusted exile.",1.60605E+18,1.34871E+18,['1606046300696285184'],Cow
"• Cow pregnancy scanning (65%*);
• Artificial insemination (53%*);
• Freezing branding (53%*).
*Of Irish farms surveyed. 

Read the full report here: https://t.co/9yfAVq8oJT
 
🚜If you are a farmer looking to develop your farm contact us today visit  💻https://t.co/hxvXteSRx0",1.60599E+18,1.00646E+18,['1605985785781501955'],Cow
@Noel_Hannan @brexit_sham @GodwinStan Half of you are ashamed to be British it’s no wonder we shoot ourselves in the foot. As for the EU they block us every step of the way (look at the Northern Ireland border issue!) because they want their cash cow back.,1.60599E+18,1.14074E+18,['1605985629313056784'],Cow
"@ANTHONYDELANE40 @Independent_ie Really ?

Free money you recon ?

What's the public debt at the moment ?

How much of EU punlic debt was paid by Ireland  ?

How much EU money Ire got this year ?

How much contributions Ire paid to EU in last 10 years ?

Why cow shit on Irish fields is a problem ?",1.60596E+18,1.243E+18,['1605960624751529992'],Cow
@DeanoGriff1 Not his fault he was from Northern Ireland…..back then on muddy cow fields where defenders could 2 foot you from behind! Dont get a statue at Old Trafford for being average mate,1.6059E+18,302199139,['1605895626708770816'],Cow
"A cow and craggy Cliffs on the Aran Islands.   Photo by @marvelatireland @instaireland
******   
How would you like more than 1 Million lovers of Ireland feasting their eyes on your business? - https://t.co/7Od7yFnGwq https://t.co/mKKQvFZp7u",1.60583E+18,1.18168E+18,['1605825760316428288'],Cow
"@KarlMartinIrl @rte Even Bolivia OLeary was on with her anecdote of Garrett mixing up Solidarnasc flag &amp; Cork Gaa, an abomination,GAA is sacred cow,no leader can rise without it,gaa banned Garrett from all Ireland final over vat on hurleys,but CJH was back next year &amp; vat still there! @SeanKellyMEP",1.60572E+18,194940707,['1605716476568096768'],Cow
"Landscape, Photography, Cow, Wildlife, Ennis, https://t.co/JzOrgGh2lY #photography #landscape #print #wallart #animal #cow #ireland #ennis @etsymktgtool https://t.co/O75hgNE80q",1.6056E+18,50731878,['1605597401133228032'],Cow
"Goddess vs Slave dinner 🍽 

😂😈 Good, what i like to see. Goddess Xhesi deserves what she want to eat and you can use the loose change to go feed your worthless self. pathetic 

Findom • Dublin • Ireland • paypig • cash cow • Human ATM • Cashslave • Whalesub • sissy https://t.co/NmwpdNJ51D",1.60555E+18,1.59993E+18,['1605545774388891648'],Cow
"Are you going to see @DameStuffy in the Red Cow Inn #Panto? You can also see Dame Stuffy at @TheOutingFest, Valentines weekend 10th - 12th Feb 2023 😍

#TheOutingFestival @ILoveGayDrag @Failte_Ireland @TourismIreland

Get your tickets NOW! https://t.co/nHeEA38e7A https://t.co/RE3W5cfVMk",1.60551E+18,8.50394E+17,['1605510270629171201'],Cow
"@wws_ireland What’s the kgs solids &amp; litres milk per cow, what’s the level of meal per cow, and how long does the herd receive buffer-feeding? Context is everything…..",1.60531E+18,243330723,['1605313030677749760'],Cow
"Rules: if you twitched you owe me €20. 
Pay up Goon 💰 

https://t.co/Nl0EqUBwaO
😈
https://t.co/4WRiR2mPNW

Findom dublin | irish femdom | Ireland | paypig | cash meet | cash cow | cash slave | whalesub  | cuck | beta | finsub | Goddess | ass worship | drain | debt contract https://t.co/CjQMxxbC0Y",1.6053E+18,1.59993E+18,['1605300034555334657'],Cow
"You know what time it is. another day, another sub bringing me a boba 🧋 😌
what sub will serve their Goddess tomorow ? 😴

findom ireland • Cash meet dublin • ireland • paypigs • human atm • slave • sub • paypiggie • cash cow • Domme • FindomGod • cuck • sissy https://t.co/bDPFD98bqd",1.60529E+18,1.59993E+18,['1605285433696571411'],Cow
