Country,Year,Amount
Bulgaria,2017,968.18
Czechia,2017,3079.21
Denmark,2017,5502.20
Germany,2017,32598.20
Estonia,2017,790
Ireland,2017,7498.94
Greece,2017,670
Spain,2017,7229.35
France,2017,25055.20
Croatia,2017,648
Italy,2017,12198.88
Cyprus,2017,216.39
Latvia,2017,998
Lithuania,2017,1566.65
Luxembourg,2017,387.18
Hungary,2017,1967.50
Malta,2017,41.03
Netherlands,2017,14501.00
Austria,2017,3712.73
Poland,2017,13694.47
Portugal,2017,1921.21
Romania,2017,3797.70
Slovenia,2017,647.99
Slovakia,2017,911.73
Finland,2017,2405.76
Sweden,2017,2816.66
Belgium,2018,4195.00
Bulgaria,2018,898.77
Czechia,2018,3161.51
Denmark,2018,5615.20
Germany,2018,33086.81
Estonia,2018,796.9
Ireland,2018,7831.25
Greece,2018,654.8
Spain,2018,7335.62
France,2018,25055.10
Croatia,2018,618
Italy,2018,12339.75
Cyprus,2018,228.08
Latvia,2018,980.2
Lithuania,2018,1568.01
Luxembourg,2018,407.62
Hungary,2018,1948.83
Malta,2018,40.41
Netherlands,2018,14090.00
Austria,2018,3821.19
Poland,2018,14171.15
Portugal,2018,1939.67
Romania,2018,3797.60
Slovenia,2018,628.93
Slovakia,2018,904.62
Finland,2018,2397.88
Sweden,2018,2760.23
Belgium,2019,4293.00
Bulgaria,2019,822.3
Czechia,2019,3155.79
Denmark,2019,5615.00
Germany,2019,33080.18
Estonia,2019,820.8
Ireland,2019,8244.87
Greece,2019,659.38
Spain,2019,7460.36
France,2019,25062.00
Croatia,2019,599
Italy,2019,12494.40
Cyprus,2019,238.76
Latvia,2019,978.9
Lithuania,2019,1547.43
Luxembourg,2019,421.26
Hungary,2019,1962.78
Malta,2019,41.27
Netherlands,2019,14555.00
Austria,2019,3781.34
Poland,2019,14502.76
Portugal,2019,1975.49
Romania,2019,3663.20
Slovenia,2019,623.02
Slovakia,2019,904.26
Finland,2019,2374.36
Sweden,2019,2704.39
Belgium,2020,4449.00
Bulgaria,2020,881.76
Czechia,2020,3267.73
Denmark,2020,5666.00
Germany,2020,33164.91
Estonia,2020,848.3
Ireland,2020,8561.47
Greece,2020,683.46
Spain,2020,7606.07
France,2020,25234.84
Croatia,2020,596
Italy,2020,12712.48
Cyprus,2020,275.16
Latvia,2020,988.2
Lithuania,2020,1488.00
Luxembourg,2020,447.34
Hungary,2020,2014.33
Malta,2020,42.11
Netherlands,2020,14522.00
Austria,2020,3815.47
Poland,2020,14821.82
Portugal,2020,1993.61
Romania,2020,3679.60
Slovenia,2020,630.65
Slovakia,2020,917.69
Finland,2020,2406.52
Sweden,2020,2772.74
Belgium,2021,4434.00
Bulgaria,2021,835.78
Czechia,2021,3309.91
Denmark,2021,5644.00
Germany,2021,32506.91
Estonia,2021,838.7
Ireland,2021,9039.99
Greece,2021,710.93
Spain,2021,7623.09
France,2021,24778.84
Croatia,2021,558
Italy,2021,13202.45
Cyprus,2021,298.14
Latvia,2021,990.31
Lithuania,2021,1473.28
Luxembourg,2021,443.28
Hungary,2021,2080.23
Malta,2021,39.54
Netherlands,2021,14217.25
Austria,2021,3830.14
Poland,2021,14881.11
Portugal,2021,1995.55
Romania,2021,3637.00
Slovenia,2021,639.93
Slovakia,2021,902.64
Finland,2021,2161.46
Sweden,2021,2782.22
